BEGIN
D 1
D 74
D 94
W 17
D 60
W 200
D 87
D 91
D 33
W 113
D 92
D 6
W 175
W 23
D 19
D 96
W 51
D 22
W 34
D 9
W 30
W 24
D 75
W 87
D 84
W 65
D 65
W 81
D 52
D 66
W 104
D 52
W 70
D 62
W 47
W 10
D 99
D 5
W 99
D 31
D 72
D 57
W 161
D 6
D 13
D 90
D 13
W 26
D 59
W 86
W 155
D 100
D 3
D 56
W 37
D 72
W 53
W 19
D 59
W 45
D 99
D 84
D 97
W 73
W 42
W 122
D 5
W 41
W 53
D 69
W 85
D 51
D 74
W 84
D 19
W 30
D 53
D 8
D 94
W 78
W 87
D 55
D 8
D 7
W 26
W 59
D 95
D 22
D 90
W 54
W 29
W 78
W 36
D 80
W 71
D 93
D 12
W 57
D 6
D 25
END
